timestamp,action,symbol,price,result
2025-04-29T17:23:44.826743,entry,AUDUSDrfd,0.63795,fail
2025-04-29T17:23:55.657829,entry,AUDUSDrfd,0.63794,fail
2025-04-29T17:24:06.440501,entry,AUDUSDrfd,0.63789,fail
2025-04-29T17:24:16.830478,entry,AUDUSDrfd,0.63792,fail
2025-04-29T17:24:27.528211,entry,AUDUSDrfd,0.63791,fail
2025-04-29T17:38:57.728962,entry,AUDUSDrfd,0.6387,13.33,fail
2025-04-29T17:39:08.993013,entry,AUDUSDrfd,0.63869,13.33,fail
2025-04-29T17:39:19.472796,entry,AUDUSDrfd,0.63865,13.33,fail
2025-04-29T19:16:59.024065,entry,AUDUSDrfd,0.63935,0.01,success
2025-04-29T19:25:08.945059,entry,AUDUSDrfd,0.63895,0.01,fail
2025-04-29T20:02:05.653112,entry,AUDUSDrfd,0.63844,0.01,success
2025-04-29T20:35:18.777661,entry,AUDUSDrfd,0.63862,0.01,success
2025-04-29T20:39:20.532057,entry,AUDUSDrfd,0.63861,0.01,success
2025-04-29T21:15:41.582459,entry,AUDUSDrfd,0.63828,0.01,fail
2025-04-29T22:07:59.371615,entry,AUDUSDrfd,0.63881,0.01,success
2025-04-29T23:04:39.297851,entry,AUDUSDrfd,0.63847,0.01,success
2025-04-29T23:37:20.565869,entry,AUDUSDrfd,0.63873,0.01,success
2025-04-30T00:00:46.696061,entry,AUDUSDrfd,0.63807,0.01,sell,fail
2025-04-30T00:01:45.370942,entry,AUDUSDrfd,0.63807,0.01,sell,fail
2025-04-30T00:02:42.419023,entry,AUDUSDrfd,0.63807,0.01,sell,fail
2025-04-30T00:03:40.871542,entry,AUDUSDrfd,0.63807,0.01,sell,fail
2025-04-30T00:06:03.146035,entry,AUDUSDrfd,0.63807,0.01,fail
2025-04-30T00:07:01.867148,entry,AUDUSDrfd,0.63807,0.01,fail
2025-04-30T00:07:58.317229,entry,AUDUSDrfd,0.63807,0.01,fail
2025-04-30T00:30:55.984115,entry,AUDUSDrfd,0.63892,0.01,success
