timestamp,action,symbol,price,result
2025-04-29T17:15:40.037921,entry,CNYRUBrfd,11.1867,success
2025-04-29T17:16:02.423040,entry,CNYRUBrfd,11.1867,success
2025-04-29T17:16:15.373511,entry,CNYRUBrfd,11.1867,success
2025-04-29T17:16:27.061626,entry,CNYRUBrfd,11.1867,success
2025-04-29T17:29:33.817763,entry,CNYRUBrfd,11.2062,success
2025-04-29T18:09:04.248283,entry,CNYRUBrfd,11.1927,0.5,success
2025-04-29T18:50:41.872671,entry,CNYRUBrfd,11.1582,0.01,success
2025-04-29T18:50:57.582972,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-29T18:51:09.828261,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-29T18:51:21.943991,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-29T18:52:28.046535,entry,CNYRUBrfd,11.1782,0.01,success
2025-04-29T18:52:41.016167,entry,CNYRUBrfd,11.178,0.01,success
2025-04-30T00:00:49.325688,entry,CNYRUBrfd,11.1582,0.01,sell,fail
2025-04-30T00:01:46.991326,entry,CNYRUBrfd,11.1582,0.01,sell,fail
2025-04-30T00:02:44.003813,entry,CNYRUBrfd,11.1582,0.01,sell,fail
2025-04-30T00:03:43.244217,entry,CNYRUBrfd,11.1582,0.01,sell,fail
2025-04-30T00:06:04.222510,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:07:02.946113,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:07:59.673312,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:13:11.607165,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:13:22.733117,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:13:35.513751,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:13:47.664846,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:13:59.018882,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:14:10.414574,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:14:23.899536,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:14:35.390824,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:14:47.025171,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:14:58.216558,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:19:35.129262,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:20:13.171223,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:20:25.113543,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:20:36.854646,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:20:49.278237,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:21:00.641842,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:21:12.346040,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:21:24.341515,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:21:35.943066,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:21:47.209631,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:21:59.083915,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:22:10.647150,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:22:21.893016,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:22:33.605182,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:22:45.159970,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:22:56.367627,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:23:08.363965,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:26:17.777810,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:26:29.563605,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:26:41.786775,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:26:53.591752,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:27:05.573643,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:27:17.768739,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:27:52.418476,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:28:03.853277,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:28:15.138602,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:28:48.549025,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:29:00.365196,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:29:33.951999,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:29:45.653790,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:29:57.177217,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:30:57.826657,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:33:41.129638,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:33:55.257871,entry,CNYRUBrfd,11.1582,0.01,fail
2025-04-30T00:34:09.857977,entry,CNYRUBrfd,11.1582,0.01,fail
