timestamp,action,symbol,price,result
2025-04-29T17:23:02.808969,entry,EURRUBrfd,92.9773,fail
2025-04-29T17:31:38.952725,entry,EURRUBrfd,93.0077,fail
2025-04-29T17:36:36.608044,entry,EURRUBrfd,92.6213,fail
2025-04-29T17:36:50.201296,entry,EURRUBrfd,92.6257,fail
2025-04-29T17:37:00.665447,entry,EURRUBrfd,92.6189,fail
2025-04-29T17:37:11.109120,entry,EURRUBrfd,92.6262,fail
2025-04-29T17:39:30.046032,entry,EURRUBrfd,92.5691,0.4,fail
2025-04-29T17:39:41.284375,entry,EURRUBrfd,92.5457,0.4,fail
2025-04-29T17:39:54.158850,entry,EURRUBrfd,92.5416,0.4,fail
2025-04-29T17:40:04.771317,entry,EURRUBrfd,92.542,0.4,fail
2025-04-29T17:40:12.297777,entry,EURRUBrfd,92.5127,0.4,fail
2025-04-29T17:40:22.990967,entry,EURRUBrfd,92.5131,0.4,fail
2025-04-29T18:09:36.655261,entry,EURRUBrfd,93.0192,0.5,fail
2025-04-29T18:09:47.416445,entry,EURRUBrfd,93.0212,0.5,fail
2025-04-29T18:09:57.928956,entry,EURRUBrfd,93.0314,0.5,fail
2025-04-30T00:00:47.460460,entry,EURRUBrfd,92.4406,0.01,sell,fail
2025-04-30T00:01:46.080851,entry,EURRUBrfd,92.4406,0.01,sell,fail
2025-04-30T00:02:42.986874,entry,EURRUBrfd,92.4406,0.01,sell,fail
2025-04-30T00:03:42.280498,entry,EURRUBrfd,92.4406,0.01,sell,fail
