timestamp,action,symbol,price,result
2025-04-29T17:16:13.970964,entry,EURUSDrfd,1.13939,success
2025-04-29T17:16:25.688427,entry,EURUSDrfd,1.13938,fail
2025-04-29T17:18:40.520823,entry,EURUSDrfd,1.13909,fail
2025-04-29T17:18:51.198329,entry,EURUSDrfd,1.13902,fail
2025-04-29T17:19:02.442184,entry,EURUSDrfd,1.13902,fail
2025-04-29T17:19:13.566387,entry,EURUSDrfd,1.13913,fail
2025-04-29T17:34:44.125698,entry,EURUSDrfd,1.14067,fail
2025-04-29T17:36:24.279540,entry,EURUSDrfd,1.1406399999999999,fail
2025-04-29T18:17:30.782209,entry,EURUSDrfd,1.13958,0.5,fail
2025-04-29T18:17:42.102165,entry,EURUSDrfd,1.13968,0.5,fail
2025-04-29T18:17:52.851698,entry,EURUSDrfd,1.13958,0.5,fail
2025-04-29T19:51:18.641998,entry,EURUSDrfd,1.13994,0.01,success
2025-04-29T20:11:09.186540,entry,EURUSDrfd,1.13946,0.01,success
2025-04-29T20:18:26.366197,entry,EURUSDrfd,1.13917,0.01,success
2025-04-29T20:43:11.126167,entry,EURUSDrfd,1.1400000000000001,0.01,15,15,success,
2025-04-29T21:14:31.008657,entry,EURUSDrfd,1.13818,0.01,success
2025-04-29T21:22:25.935758,entry,EURUSDrfd,1.1375899999999999,0.01,success
2025-04-29T21:37:37.333383,entry,EURUSDrfd,1.13845,0.01,success
2025-04-29T21:38:14.978117,entry,EURUSDrfd,1.13851,0.01,success
2025-04-29T21:41:02.028185,entry,EURUSDrfd,1.13843,0.01,fail
2025-04-29T23:07:58.430507,entry,EURUSDrfd,1.13836,0.01,success
2025-04-29T23:26:56.949108,entry,EURUSDrfd,1.13888,0.01,success
