timestamp,action,symbol,price,result
2025-04-29T17:16:14.026521,entry,GBPUSDrfd,1.34083,fail
2025-04-29T17:16:25.725699,entry,GBPUSDrfd,1.34082,fail
2025-04-29T17:24:37.892984,entry,GBPUSDrfd,1.34055,fail
2025-04-29T17:24:48.542856,entry,GBPUSDrfd,1.34048,fail
2025-04-29T17:24:58.908812,entry,GBPUSDrfd,1.34045,fail
2025-04-29T17:25:09.348963,entry,GBPUSDrfd,1.34049,fail
2025-04-29T17:25:19.951908,entry,GBPUSDrfd,1.34046,fail
2025-04-29T17:34:54.663866,entry,GBPUSDrfd,1.3405,fail
2025-04-29T17:35:26.980593,entry,GBPUSDrfd,1.3403800000000001,fail
2025-04-29T17:38:46.783081,entry,GBPUSDrfd,1.34115,13.33,fail
2025-04-29T17:38:57.610931,entry,GBPUSDrfd,1.34113,13.33,fail
2025-04-29T17:39:08.110952,entry,GBPUSDrfd,1.34107,13.33,fail
2025-04-29T17:39:19.333048,entry,GBPUSDrfd,1.34106,13.33,fail
2025-04-29T17:57:42.227382,entry,GBPUSDrfd,1.33901,13.33,fail
2025-04-29T17:57:55.202778,entry,GBPUSDrfd,1.33874,13.33,fail
2025-04-29T18:41:01.402913,entry,GBPUSDrfd,1.34097,0.01,success
2025-04-29T18:48:08.139362,entry,GBPUSDrfd,1.34033,0.01,success
2025-04-29T19:29:52.587679,entry,GBPUSDrfd,1.34181,0.01,fail
2025-04-29T19:31:56.671584,entry,GBPUSDrfd,1.34125,0.01,success
2025-04-29T20:17:49.216098,entry,GBPUSDrfd,1.34023,0.01,success
2025-04-29T20:29:44.298455,entry,GBPUSDrfd,1.34088,0.01,success
2025-04-29T21:04:48.573600,entry,GBPUSDrfd,1.34013,0.01,success
2025-04-29T21:34:22.195198,entry,GBPUSDrfd,1.3401399999999999,0.01,success
2025-04-29T21:51:29.098413,entry,GBPUSDrfd,1.33965,0.01,success
2025-04-29T22:38:57.978902,entry,GBPUSDrfd,1.34023,0.01,success
2025-04-29T23:02:31.511820,entry,GBPUSDrfd,1.34047,0.01,success
2025-04-29T23:03:08.725710,entry,GBPUSDrfd,1.34056,0.01,fail
2025-04-29T23:32:43.360301,entry,GBPUSDrfd,1.34096,0.01,success
2025-04-30T00:20:11.902189,entry,GBPUSDrfd,1.34002,0.01,success
