timestamp,action,symbol,price,result
2025-04-29T17:24:06.475641,entry,NZDUSDrfd,0.59293,fail
2025-04-29T17:24:17.170260,entry,NZDUSDrfd,0.59294,fail
2025-04-29T17:24:27.562487,entry,NZDUSDrfd,0.59296,fail
2025-04-29T17:30:18.765668,entry,NZDUSDrfd,0.59275,success
2025-04-29T17:32:55.560986,entry,NZDUSDrfd,0.59268,success
2025-04-29T17:33:06.104710,entry,NZDUSDrfd,0.59268,fail
2025-04-29T17:33:16.577233,entry,NZDUSDrfd,0.59267,fail
2025-04-29T17:38:57.741334,entry,NZDUSDrfd,0.59346,13.33,fail
2025-04-29T17:39:09.018866,entry,NZDUSDrfd,0.59347,13.33,fail
2025-04-29T17:39:19.494612,entry,NZDUSDrfd,0.59348,13.33,fail
2025-04-29T18:38:16.869231,entry,NZDUSDrfd,0.594,0.01,success
2025-04-29T18:45:31.829006,entry,NZDUSDrfd,0.59406,0.01,success
2025-04-29T18:47:32.370673,entry,NZDUSDrfd,0.59435,0.01,success
2025-04-29T19:18:32.281676,entry,NZDUSDrfd,0.59481,0.01,success
2025-04-29T19:52:20.097907,entry,NZDUSDrfd,0.59414,0.01,success
2025-04-29T19:54:59.519175,entry,NZDUSDrfd,0.59418,0.01,success
2025-04-29T19:56:39.213315,entry,NZDUSDrfd,0.59419,0.01,success
2025-04-29T20:04:36.431959,entry,NZDUSDrfd,0.59409,0.01,success
2025-04-29T20:08:22.032408,entry,NZDUSDrfd,0.59389,0.01,success
2025-04-29T20:48:22.803320,entry,NZDUSDrfd,0.59464,0.01,15,15,success,
2025-04-29T21:53:59.138682,entry,NZDUSDrfd,0.59373,0.01,fail
2025-04-29T23:20:38.555859,entry,NZDUSDrfd,0.59416,0.01,success
2025-04-29T23:31:05.254190,entry,NZDUSDrfd,0.5937,0.01,success
2025-04-29T23:32:07.682761,entry,NZDUSDrfd,0.59366,0.01,success
2025-04-30T00:19:33.904693,entry,NZDUSDrfd,0.59324,0.01,fail
