timestamp,action,symbol,price,result
2025-04-29T17:07:45.134568,entry,USDCADrfd,1.3850799999999999,success
2025-04-29T17:07:58.519622,entry,USDCADrfd,1.38525,success
2025-04-29T17:08:11.240686,entry,USDCADrfd,1.38525,success
2025-04-29T17:17:23.479280,entry,USDCADrfd,1.38516,success
2025-04-29T17:30:41.596843,entry,USDCADrfd,1.38608,fail
2025-04-29T17:30:52.844821,entry,USDCADrfd,1.38614,fail
2025-04-29T17:35:05.122908,entry,USDCADrfd,1.38532,fail
2025-04-29T17:35:16.628238,entry,USDCADrfd,1.38533,fail
2025-04-29T17:36:00.161749,entry,USDCADrfd,1.38586,success
2025-04-29T17:36:10.564068,entry,USDCADrfd,1.38581,fail
2025-04-29T17:38:24.768120,entry,USDCADrfd,1.38586,13.33,fail
2025-04-29T17:40:22.868869,entry,USDCADrfd,1.38554,13.33,fail
2025-04-29T18:17:19.671502,entry,USDCADrfd,1.38565,0.5,fail
2025-04-29T18:17:31.023919,entry,USDCADrfd,1.38563,0.5,fail
2025-04-29T18:17:42.297045,entry,USDCADrfd,1.38561,0.5,fail
2025-04-29T18:17:53.007336,entry,USDCADrfd,1.38563,0.5,fail
2025-04-29T18:57:38.358568,entry,USDCADrfd,1.38544,0.01,success
2025-04-29T18:58:12.809188,entry,USDCADrfd,1.38535,0.01,success
2025-04-29T19:55:46.890215,entry,USDCADrfd,1.38552,0.01,success
2025-04-29T20:01:09.337448,entry,USDCADrfd,1.38555,0.01,success
2025-04-29T20:03:43.650008,entry,USDCADrfd,1.38562,0.01,success
2025-04-29T20:16:32.642552,entry,USDCADrfd,1.38523,0.01,success
2025-04-29T20:17:06.582829,entry,USDCADrfd,1.38522,0.01,success
2025-04-29T20:28:26.396949,entry,USDCADrfd,1.3844400000000001,0.01,success
2025-04-29T20:28:59.291410,entry,USDCADrfd,1.38442,0.01,success
2025-04-29T21:03:18.377223,entry,USDCADrfd,1.38428,0.01,success
2025-04-29T21:14:53.294602,entry,USDCADrfd,1.38517,0.01,success
2025-04-29T22:08:32.848307,entry,USDCADrfd,1.38416,0.01,success
2025-04-29T22:34:31.575661,entry,USDCADrfd,1.38461,0.01,success
2025-04-29T22:35:04.037435,entry,USDCADrfd,1.38467,0.01,success
2025-04-29T22:37:27.390686,entry,USDCADrfd,1.3847,0.01,success
2025-04-29T22:38:21.685177,entry,USDCADrfd,1.38471,0.01,success
2025-04-29T22:45:56.752926,entry,USDCADrfd,1.38464,0.01,success
2025-04-29T23:27:20.314307,entry,USDCADrfd,1.38319,0.01,success
2025-04-29T23:38:37.396795,entry,USDCADrfd,1.38284,0.01,fail
2025-04-29T23:39:14.730252,entry,USDCADrfd,1.38284,0.01,success
2025-04-30T00:27:51.187709,entry,USDCADrfd,1.38297,0.01,success
2025-04-30T00:28:47.337402,entry,USDCADrfd,1.38278,0.01,success
2025-04-30T00:29:32.751650,entry,USDCADrfd,1.3828,0.01,success
