timestamp,action,symbol,price,result
2025-04-29T17:16:14.077194,entry,USDCHFrfd,0.82355,fail
2025-04-29T17:16:25.796725,entry,USDCHFrfd,0.8235,fail
2025-04-29T17:25:52.641535,entry,USDCHFrfd,0.82253,fail
2025-04-29T17:26:03.488327,entry,USDCHFrfd,0.82251,fail
2025-04-29T17:26:14.360492,entry,USDCHFrfd,0.82251,fail
2025-04-29T17:26:24.785729,entry,USDCHFrfd,0.82234,fail
2025-04-29T17:35:05.098095,entry,USDCHFrfd,0.8227,fail
2025-04-29T17:35:16.601088,entry,USDCHFrfd,0.82269,fail
2025-04-29T17:36:10.514047,entry,USDCHFrfd,0.82272,fail
2025-04-29T17:36:24.406872,entry,USDCHFrfd,0.82257,fail
2025-04-29T18:08:10.277722,entry,USDCHFrfd,0.82356,0.5,fail
2025-04-29T18:08:21.801850,entry,USDCHFrfd,0.82362,0.5,fail
2025-04-29T18:08:51.160106,entry,USDCHFrfd,0.82356,0.5,fail
2025-04-29T18:16:34.670879,entry,USDCHFrfd,0.82364,0.5,fail
2025-04-29T18:17:08.472059,entry,USDCHFrfd,0.82373,0.5,fail
2025-04-29T18:17:19.531064,entry,USDCHFrfd,0.82373,0.5,fail
2025-04-29T18:17:30.993353,entry,USDCHFrfd,0.82368,0.5,fail
2025-04-29T18:17:42.265477,entry,USDCHFrfd,0.82359,0.5,fail
2025-04-29T18:17:52.984319,entry,USDCHFrfd,0.82354,0.5,fail
2025-04-29T18:21:05.269130,entry,USDCHFrfd,0.82399,0.5,fail
2025-04-29T18:21:15.759587,entry,USDCHFrfd,0.82398,0.5,fail
2025-04-29T18:21:34.590902,entry,USDCHFrfd,0.82391,0.5,fail
2025-04-29T18:59:01.240778,entry,USDCHFrfd,0.82417,0.01,success
2025-04-29T19:32:54.818682,entry,USDCHFrfd,0.82298,0.01,success
2025-04-29T19:54:09.663966,entry,USDCHFrfd,0.82373,0.01,success
2025-04-29T20:06:59.655473,entry,USDCHFrfd,0.82383,0.01,fail
2025-04-29T20:36:55.999002,entry,USDCHFrfd,0.82314,0.01,success
2025-04-29T20:38:34.312854,entry,USDCHFrfd,0.82341,0.01,success
2025-04-29T21:28:13.585872,entry,USDCHFrfd,0.82489,0.01,success
2025-04-29T21:30:57.441824,entry,USDCHFrfd,0.8248,0.01,fail
2025-04-29T22:07:13.050047,entry,USDCHFrfd,0.82397,0.01,success
2025-04-29T23:13:46.481022,entry,USDCHFrfd,0.82367,0.01,fail
2025-04-29T23:14:34.788408,entry,USDCHFrfd,0.82368,0.01,success
2025-04-29T23:25:28.210672,entry,USDCHFrfd,0.82391,0.01,success
2025-04-29T23:26:20.187236,entry,USDCHFrfd,0.82368,0.01,success
