timestamp,action,symbol,price,result
2025-04-29T17:21:47.599850,entry,USDJPYrfd,142.209,fail
2025-04-29T17:21:58.724609,entry,USDJPYrfd,142.204,fail
2025-04-29T17:35:05.057542,entry,USDJPYrfd,142.073,fail
2025-04-29T17:35:16.572094,entry,USDJPYrfd,142.072,success
2025-04-29T17:35:27.004808,entry,USDJPYrfd,142.067,fail
2025-04-29T18:08:10.220101,entry,USDJPYrfd,142.203,0.5,fail
2025-04-29T18:08:50.755923,entry,USDJPYrfd,142.208,0.5,fail
2025-04-29T18:17:30.881663,entry,USDJPYrfd,142.244,0.5,fail
2025-04-29T18:17:42.239821,entry,USDJPYrfd,142.234,0.5,fail
2025-04-29T18:17:52.931785,entry,USDJPYrfd,142.244,0.5,fail
2025-04-29T19:15:48.021739,entry,USDJPYrfd,142.182,0.01,success
2025-04-29T19:15:59.738169,entry,USDJPYrfd,142.165,0.01,success
2025-04-29T19:22:00.101536,entry,USDJPYrfd,142.148,0.01,success
2025-04-29T19:30:48.340822,entry,USDJPYrfd,142.058,0.01,success
2025-04-29T19:31:00.932964,entry,USDJPYrfd,142.053,0.01,success
2025-04-29T19:42:37.343052,entry,USDJPYrfd,142.034,0.01,success
2025-04-29T20:03:08.691853,entry,USDJPYrfd,142.025,0.01,success
2025-04-29T20:03:20.384685,entry,USDJPYrfd,142.021,0.01,success
2025-04-29T20:20:21.696045,entry,USDJPYrfd,142.202,0.01,success
2025-04-29T20:20:33.374023,entry,USDJPYrfd,142.194,0.01,success
2025-04-29T20:20:44.953518,entry,USDJPYrfd,142.204,0.01,success
2025-04-29T20:20:56.815328,entry,USDJPYrfd,142.2,0.01,success
2025-04-29T21:08:46.011559,entry,USDJPYrfd,142.283,0.01,success
2025-04-29T21:08:58.593633,entry,USDJPYrfd,142.303,0.01,success
2025-04-29T21:10:14.529499,entry,USDJPYrfd,142.306,0.01,success
2025-04-29T21:10:26.513993,entry,USDJPYrfd,142.305,0.01,success
2025-04-29T21:10:39.232728,entry,USDJPYrfd,142.307,0.01,success
2025-04-29T21:10:51.390065,entry,USDJPYrfd,142.334,0.01,success
2025-04-29T21:19:10.532960,entry,USDJPYrfd,142.369,0.01,success
2025-04-29T21:19:22.623851,entry,USDJPYrfd,142.379,0.01,success
2025-04-29T21:19:34.797888,entry,USDJPYrfd,142.371,0.01,success
2025-04-29T21:19:47.058888,entry,USDJPYrfd,142.366,0.01,success
2025-04-29T21:19:58.844903,entry,USDJPYrfd,142.366,0.01,success
2025-04-29T21:21:24.460471,entry,USDJPYrfd,142.366,0.01,success
2025-04-29T21:28:57.319086,entry,USDJPYrfd,142.313,0.01,success
2025-04-29T22:30:58.391830,entry,USDJPYrfd,142.259,0.01,success
2025-04-29T23:19:11.800029,entry,USDJPYrfd,142.267,0.01,success
2025-04-29T23:19:23.824812,entry,USDJPYrfd,142.267,0.01,success
2025-04-29T23:19:35.849767,entry,USDJPYrfd,142.266,0.01,success
2025-04-29T23:19:48.102894,entry,USDJPYrfd,142.264,0.01,success
2025-04-29T23:48:27.980637,entry,USDJPYrfd,142.446,0.01,success
2025-04-29T23:48:39.704224,entry,USDJPYrfd,142.447,0.01,success
2025-04-29T23:48:51.418079,entry,USDJPYrfd,142.448,0.01,success
